# RustyNES Game Genie code database — bulk catalog (v2.1.3).
#
# ~10,800 well-known Game Genie codes across ~520 USA/World NES games, ingested
# from the openly-licensed libretro-database cheat files
# (cht/Nintendo - Nintendo Entertainment System/*(Game Genie).cht) and keyed to
# every known USA/World dump's CRC32 via the No-Intro NES DAT. The codes and
# effect names are factual/functional descriptions (not Nintendo program code),
# and the No-Intro CRC32s are factual dump identifiers — both freely
# redistributable as data. Commercial Nintendo ROMs are NEVER committed.
#
# Format (tab-separated): CRC32<TAB>Game<TAB>Effect<TAB>Code<TAB>Category.
# **CRC32 here is the FULL-FILE No-Intro key** (CRC32 of the whole .nes file
# INCLUDING the 16-byte iNES header) — computed by `crate::game_db::rom_crc32_full`.
# Multiple CRCs per game cover every dump revision, so any common dump matches.
# This differs from `genie_database.tsv` (the curated starter catalog, keyed by
# the header-EXCLUDED `rom_crc32`); the cheat panel matches a loaded ROM against
# BOTH keys, so both files contribute. Native-only (this file is ~760 KB and is
# excluded from the wasm bundle to keep it under the size budget; the wasm demo
# keeps only the curated starter set). Codes are re-validated at load through
# `GenieCode::new`, so a malformed row is silently dropped.
#
74D7BAE1	1942	Mostly Untouchable	OZOYUEPX	Invincibility
74D7BAE1	1942	Mostly Untouchable	OZVULSPX	Invincibility
74D7BAE1	1942	After Continue, Player 1 Has 9 Lives In 2-Player Game	AAKUUAZE	Lives
74D7BAE1	1942	Player 2 Has 9 Lives In 2-Player Game	AASUOAZE	Lives
74D7BAE1	1942	Start With 9 Lives, 1-Player Game Only	AESUTYZE	Lives
74D7BAE1	1942	After Continue, Player 1 Has 6 Lives In 2-Player Game	IAKUUAZA	Lives
74D7BAE1	1942	Player 2 Has 6 Lives In 2-Player Game	IASUOAZA	Lives
74D7BAE1	1942	Start With 6 Lives, 1-Player Game Only	IESUTYZA	Lives
74D7BAE1	1942	Infinite Lives P1	SZXLKEVK	Lives
74D7BAE1	1942	Most Enemies Die Instantly	PAEIXKNY	Misc
74D7BAE1	1942	Infinite Rolls P1	SZESPUVK	Misc
74D7BAE1	1942	Both Players Start With 9 Rolls	PASIOALE	Start
46F660C9	1943 - The Battle of Midway	20 Power Points	GOSNLLLA	Items
5564B222	1943 - The Battle of Midway	20 Power Points	GOSNLLLA	Items
46F660C9	1943 - The Battle of Midway	Infinite 700+ Energy	OUNLAZGA	Items
5564B222	1943 - The Battle of Midway	Infinite 700+ Energy	OUNLAZGA	Items
46F660C9	1943 - The Battle of Midway	Infinite Power	SXVLZXSE	Items
5564B222	1943 - The Battle of Midway	Infinite Power	SXVLZXSE	Items
46F660C9	1943 - The Battle of Midway	30 Power Points	TOSNLLLE	Items
5564B222	1943 - The Battle of Midway	30 Power Points	TOSNLLLE	Items
46F660C9	1943 - The Battle of Midway	Infinite Power	VVOULXVK	Items
5564B222	1943 - The Battle of Midway	Infinite Power	VVOULXVK	Items
46F660C9	1943 - The Battle of Midway	10 Power Points	ZESNLLLE	Items
5564B222	1943 - The Battle of Midway	10 Power Points	ZESNLLLE	Items
46F660C9	1943 - The Battle of Midway	Can't Instantly Die From Touching 'Boss' Planes	NSKIELGA	Misc
5564B222	1943 - The Battle of Midway	Can't Instantly Die From Touching 'Boss' Planes	NSKIELGA	Misc
46F660C9	1943 - The Battle of Midway	Start On Mission 5	AEVYZLAE	Start
5564B222	1943 - The Battle of Midway	Start On Mission 5	AEVYZLAE	Start
46F660C9	1943 - The Battle of Midway	Start On Mission 15	GOVYZLAE	Start
5564B222	1943 - The Battle of Midway	Start On Mission 15	GOVYZLAE	Start
46F660C9	1943 - The Battle of Midway	Start On Mission 20	TXVYZLAA	Start
5564B222	1943 - The Battle of Midway	Start On Mission 20	TXVYZLAA	Start
46F660C9	1943 - The Battle of Midway	Start On Mission 10	ZOVYZLAA	Start
5564B222	1943 - The Battle of Midway	Start On Mission 10	ZOVYZLAA	Start
46F660C9	1943 - The Battle of Midway	Infinite Weapon Upgrade Time	SGOUZUVK	Weapons
5564B222	1943 - The Battle of Midway	Infinite Weapon Upgrade Time	SGOUZUVK	Weapons
426A7B5A	3-D WorldRunner	Slow Down Timer	NNXOYGEK	Difficulty
426A7B5A	3-D WorldRunner	Freeze Timer	SXUPZGVG	Difficulty
426A7B5A	3-D WorldRunner	Infinite Lives	AEUOLTPA	Lives
426A7B5A	3-D WorldRunner	Start With 1 Life	PEUPPTLA	Lives
426A7B5A	3-D WorldRunner	Start With 9 Lives	PEUPPTLE	Lives
426A7B5A	3-D WorldRunner	Start With 1 Life	PLVOLTLL	Lives
426A7B5A	3-D WorldRunner	Start With 9 Lives	PLVOLTLU	Lives
426A7B5A	3-D WorldRunner	Start With 6 Lives	TEUPPTLA	Lives
426A7B5A	3-D WorldRunner	Start With 6 Lives	TLVOLTLL	Lives
426A7B5A	3-D WorldRunner	Autofire	OXUONISX	Misc
426A7B5A	3-D WorldRunner	Speed Up Timer	AVXOYGEG	Movement
426A7B5A	3-D WorldRunner	Start On World 5	GAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start On World 6	IAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start On World 4	LAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start On World 2	PAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start On World 7	TAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start On World 6	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 5	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 3	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 2	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 4	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 7	VAEASPSA	Start
426A7B5A	3-D WorldRunner	Start On World 2	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 6	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 4	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 7	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 5	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 3	XZEAUOOZ	Start
426A7B5A	3-D WorldRunner	Start On World 3	ZAEAKPAA	Start
426A7B5A	3-D WorldRunner	Start With And Keep Laser Missiles	AEUOVIGA	Weapons
1E693A66	720 Degrees	No Continues, Instead Of Usual 2	PEXKLZLA	Misc
1E693A66	720 Degrees	9 Continues	PEXKLZLE	Misc
1E693A66	720 Degrees	Infinite Continues	SZUYASVK	Misc
1E693A66	720 Degrees	6 Continues	TEXKLZLA	Misc
1E693A66	720 Degrees	Start With All Equipment	GEKKYZAA	Start
1E693A66	720 Degrees	Start On Level 4	GEXGTZZA	Start
1E693A66	720 Degrees	Start On Level 3	LEXGTZZA	Start
1E693A66	720 Degrees	Start On Level 2	OXXGIXTE	Start
1E693A66	720 Degrees	Start On Level 4	OXXGIXTE	Start
1E693A66	720 Degrees	Start On Level 3	OXXGIXTE	Start
1E693A66	720 Degrees	Start On Level 4	XVXGGXSX	Start
1E693A66	720 Degrees	Start On Level 2	XVXGGXSX	Start
1E693A66	720 Degrees	Start On Level 3	XVXGGXSX	Start
1E693A66	720 Degrees	Start With Half Equipment	ZEKKYZAA	Start
1E693A66	720 Degrees	Start On Level 2	ZEXGTZZA	Start
22C0543E	8 Eyes	Never Lose Item Power Once Gained	GXSLKVSE	Items
89D3518C	8 Eyes	Never Lose Item Power Once Gained	GXSLKVSE	Items
A1C16875	8 Eyes	Never Lose Item Power Once Gained	GXSLKVSE	Items
22C0543E	8 Eyes	Most Attacks Won't Damage Cutrus	GXNGNOSE	Misc
89D3518C	8 Eyes	Most Attacks Won't Damage Cutrus	GXNGNOSE	Misc
A1C16875	8 Eyes	Most Attacks Won't Damage Cutrus	GXNGNOSE	Misc
22C0543E	8 Eyes	Most Attacks Won't Damage Orin	GXOUSUSE	Misc
89D3518C	8 Eyes	Most Attacks Won't Damage Orin	GXOUSUSE	Misc
A1C16875	8 Eyes	Most Attacks Won't Damage Orin	GXOUSUSE	Misc
22C0543E	8 Eyes	Start With More Energy (Orin)	AGVXGXYZ	Start
89D3518C	8 Eyes	Start With More Energy (Orin)	AGVXGXYZ	Start
A1C16875	8 Eyes	Start With More Energy (Orin)	AGVXGXYZ	Start
22C0543E	8 Eyes	Start With More Energy (Cutrus)	AGVXIXYZ	Start
89D3518C	8 Eyes	Start With More Energy (Cutrus)	AGVXIXYZ	Start
A1C16875	8 Eyes	Start With More Energy (Cutrus)	AGVXIXYZ	Start
22C0543E	8 Eyes	Start Game With Dagger	VTOVNTVA	Start
89D3518C	8 Eyes	Start Game With Dagger	VTOVNTVA	Start
A1C16875	8 Eyes	Start Game With Dagger	VTOVNTVA	Start
22C0543E	8 Eyes	Start Game With Some Item Power	YZVXTZAE	Start
89D3518C	8 Eyes	Start Game With Some Item Power	YZVXTZAE	Start
A1C16875	8 Eyes	Start Game With Some Item Power	YZVXTZAE	Start
99C84528	Addams Family, The	Start In Fester's Room	AEKGTAAE	Items
99C84528	Addams Family, The	Start In A Secret Room	AOKGTAAA	Items
99C84528	Addams Family, The	Start In Gomez's Room	AXKGTAAA	Items
99C84528	Addams Family, The	Start In The Attic	GEKGTAAE	Items
99C84528	Addams Family, The	Start In The Bone Room	IOKGTAAE	Items
99C84528	Addams Family, The	Start In The Hallway	LEKGTAAA	Items
99C84528	Addams Family, The	Start In Wednesday's Room	LEKGTAAE	Items
99C84528	Addams Family, The	Start In The Tree	PEKGTAAA	Items
99C84528	Addams Family, The	Start In Pugsley's Room	PEKGTAAE	Items
99C84528	Addams Family, The	Start In A Secret Room	POKGTAAA	Items
99C84528	Addams Family, The	Start In The Freezer	PXKGTAAA	Items
99C84528	Addams Family, The	Start In A Secret Room	YEKGTAAE	Items
99C84528	Addams Family, The	Start In The Crypt	ZEKGTAAA	Items
99C84528	Addams Family, The	Start In The Toy Room	ZEKGTAAE	Items
99C84528	Addams Family, The	Start In The Furnace	ZXKGTAAA	Items
99C84528	Addams Family, The	Infinite Life	GXKKZSVK	Lives
99C84528	Addams Family, The	Infinite Lives	GXSVAUVK	Lives
99C84528	Addams Family, The	Start With 1 Life (1st Game Only)	PEVGGALA	Lives
99C84528	Addams Family, The	Start With 9 Lives (1st Game Only)	PEVGGALE	Lives
99C84528	Addams Family, The	Start With 6 Lives (1st Game Only)	TEVGGALA	Lives
99C84528	Addams Family, The	Infinite Things	GXEVLVVK	Misc
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Infinite Hearts	AAKGYGPA	Items
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Start With 1 Life	PEVKZTIA	Lives
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Start With 9 Lives	PEVKZTIE	Lives
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Infinite Lives	SXUGZKVK	Lives
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Always Be Able To Fly	AASVUGIL	Movement
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Mega-Jump	AOVTETAO	Movement
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Start With 4 Hearts	GENKZTZA	Start
FAA79DD5	Addams Family, The - Pugsley's Scavenger Hunt	Start With 1 Heart	PENKZTZA	Start
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Silver Dragon Flies Faster	ATXGYAGV	Difficulty
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Gold Dragon Flies Faster	YGXKAAPG	Difficulty
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Bronze Dragon Flies Faster	YIXGTALI	Difficulty
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	More Energy For Bronze Dragon	AIKZGEAZ	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	More Energy For Silver Dragon	AIKZIEGL	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Less Energy For Bronze Dragon	GPKZGEAZ	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	More Energy For Gold Dragon	ITKZTAAI	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Infinite Energy	OTKGSYSV	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Less Energy For Silver Dragon	TPKZIEGU	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Gold Dragon Has Excellent Armor Class	TTXGIALT	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Less Energy For Gold Dragon	ZZKZTAAS	Items
AF14702D	Advanced Dungeons _ Dragons - DragonStrike	Weapon Power Doesn't Weaken With Energy	GZKKNNSE	Weapons
8D5B6370	Advanced Dungeons _ Dragons - Heroes of the Lance	Infinite HP During Most Battles For Everyone In Your Party!	SUOAZGSP	Items
127E8C11	Advanced Dungeons _ Dragons - Hillsfar	Faster Timer When Lock-Picking	AOULILAZ	Difficulty
127E8C11	Advanced Dungeons _ Dragons - Hillsfar	Slower Timer When Lock-Picking	ASULILAZ	Difficulty
127E8C11	Advanced Dungeons _ Dragons - Hillsfar	Very Slow Timer When Lock-Picking	ENULILAZ	Difficulty
127E8C11	Advanced Dungeons _ Dragons - Hillsfar	Infinite Knock Rings	AEKUISAI	Misc
127E8C11	Advanced Dungeons _ Dragons - Hillsfar	Infinite Knock Rings	SXKUTSVK	Misc
1D3073D7	Advanced Dungeons _ Dragons - Pool of Radiance	1-Hit Ends Battle With No Gold Or Experience	AXLALN	Items
1D3073D7	Advanced Dungeons _ Dragons - Pool of Radiance	Duplicates Items By Trading	GGLAUP	Items
